text,recommends,label,score
"I still don’t feel like I “get it”. I figured out early on I was supposed to leave to Ts blank, but why? What do Temptresses and Textiles have to do with tea leaves or one another or anything? It just seemed like for all the trouble I was hoping for a payoff beyond what I noticed my first time through the clues.",0,negative,0.6492270231246948
"I honestly don’t understand the kerfuffle, it seemed pretty obvious to me that the Ts were not to be touched. That said I’m not certain that the juice was worth the squeeze. Loved Red Sea and nape.",1,negative,0.4761137366294861
Really enjoyed the cluing on this one! Varied and clever without being forced. Made for a smooth and smiling solve. Feels like the puzzles have their mojo back after some rough solves last week  — April ABYSMs bring May flowers?,4,positive,0.9707932472229004
"Love this puzzle so much, thank you Brandon! 
Particularly enjoy the ones with visual surprises, and I am lucky to have picked up on the theme early into the solve. 
Favourite clues were NAPES and REDSEA
MARVIN was my favourite Looney Tune, and ALANIS’ Jagged Little Pill is one of my top albums of all time! So cool to find those in there too!",4,positive,0.9877305626869202
"Nice puzzle, but when I filled in every square and left the T spaces blank, nothing happened - I didn't get the usual ""So close"" or ""You solved it"" message. Not knowing how to move forward, I hit Reveal and that was that. A bit disappointing.",0,negative,0.7903696298599243
Great visual gimmick but some really inventive clues as well!,4,positive,0.9786010384559631
"And then there are those of us who do the puzzle in the print edition.  The ASL rebus didn't show at all, but the solve wasn't very hard.  The T squares were ever so slightly shaded but had no indication that a T went there.  Just blank lightly shaded squares.   It took quite awhile to figure out the trick since there were no real clues to help us old-school solvers.  All of which made it that much more fun.",5,neutral,0.619823694229126
Initially the Ts weren’t filled in but suddenly at some point while still solving they showed up all filled in and in bold for me and I couldn’t even clear them,0,negative,0.572655439376831
Another Thursday puzzle solved by leaving blank spaces. Pretty cutesly I guess. I'm waiting for one that's solved by leaving it completely blank.,4,neutral,0.5423474907875061
"My problem wasn't the trick--caught on pretty quick when 1A wasn't RED so 3D wasn't DATE. Oh I get it--jump  over all those T's.
 But it took forever to get the revealer. It had to start with TEAL or TEIL and I must have had those ducks stuck in my head because I kept trying to think of some way to use them. Either that or a blue-green utensil?
  Shout out for yesterday's kitchen drawer riff. I particularly liked the mysterious metal gizmo we don't know the use of but are afraid to throw away. We have at least one of those  but it's in a box in the work room not the kitchen.",4,negative,0.4708864092826843
"Gotta ask: @TMD did you ever find the May bonus  puzzle? Hope so. It was fun and easier than I feared--useful crosses.
  Well, gotta brag that this early boomer did it with only a couple of look-ups. Not bad since NONE of  the music was from our era.😥. But 57D warned us that it wasn't. 8 year old granddaughter is a help of course. ""As life is action and passion, a man[sic] must be part of the action and passion of his[sic] times or risk being judged not to have lived."" Yeah. Oliver Wendell Holmes Jr said that to explain why he fought in the Civil War, but can't we apply it to smaller things?",2,positive,0.8499740362167358
"I skipped over the IOS/Android instructions!  I still do it pen/paper and the Ts were right where they were supposed to be!

Fun puzzle.  Thank you, Mr. Koppy!",3,positive,0.8677036166191101
"Very nice! And I know I promised just last week not to badmouth either app (games or NYT) but after so many Non-Apple users who had trouble with this, I can't help myself. Given that SOME Android users like me had no trouble, doesn't it seem as if it must be an app?
  True: until I'd finished it, the cursor kept jumping to places with those T's and that made me nervous, but in the end I got the star without entering anything. And now the  image switches. between T and blank just fine.",1,positive,0.7080655097961426
What a fun puzzle! Thanks to everyone who made it work. These kinds of things are such a nice surprise. Also was fairly doable so I’m sure Friday and Saturday will have that much more of a bite!,4,positive,0.9887485504150391
Oh for Pete's sake.  Completed the puzzle quickly and got the theme pretty easily (revealer was pretty clear).  My streak was broken thanks to a typo that my eyes refused to see.  27A I had DVR (because that's how we now use Netflix) rather than DVD because my brain didn't notice RCELL rather than DCELL.    Another streak down the tubes.  Oh well.  Nice puzzle overall.,1,positive,0.4070141017436981
"Can I  make one request to the puzzle maestros - stop with the cutesy puzzles, please.  When you start creating a flowchart of possible responses based on input criteria you have changed lanes - you are now cruising down the programmer nerd lane and not the crossword nerd lane.",16,negative,0.5585509538650513
The RED SEA clue was my favorite in a while.,11,positive,0.9814133644104004
"I like this puzzle, but AONE for “Tops” is super lame. It is never written this way in reality, and thus not a valid crossword answer IMHO.",1,negative,0.8373672962188721
"The puzzle itself was fine, but prefilling all the ""T""s really took all the fun away from this one. It's a Thursday, make us work for it!",4,positive,0.6253180503845215
Hmm I solve on my android phone and had no problem. I left the prefilled T squares alone and just solved around them.,4,positive,0.563186526298523
My first ever Thursday (legitimate) solve! I was stuck on a tarot deck until I was finally able to read the tea leaves on this one.,5,positive,0.57765132188797
"I am a sucker for any animated puzzle (my favorite being the Pride puzzle that flashed rainbow colors when completed) so I loved it.  I do wish there had been a theme for the words resulting from leaving the ""Ts"" in, but that would probably be close to impossible, so I'll be happy with the puzzle as it is.",3,positive,0.9791203737258911
"It was not necessary to have us fill out the T’s, especially since it is not clear which T’s are filled or not visually. Good puzzle, but tech fail.",6,negative,0.6269453763961792
"Good puzzle.  Fun to solve and the ‘T’ricky part solution came early.  The mechanics  of how to fill it in on an ipad came late however and not without guidance.  Even then, had to go through a few rounds.",5,positive,0.897875189781189
"the puzzle's theme felt pretty intuitive even before the revealer. No problems, good fun!",3,positive,0.9762909412384033
"This was too difficult for people on Android, and when it's too difficult, it's not fun.  Please don't do anything like this again.",2,negative,0.9365652799606323
"Sooo...type in BLANK in all the squares that contain the letter T, then ignore those squares and complete the puzzle as though they weren't there?  Okie Dokey.",10,neutral,0.6359061598777771
"I (almost) always solve NYT puzzles in a desktop web browser (macOS Firefox), so I rarely have the problems others sometimes encounter on other platforms. But I do feel for those who have difficulties. 

FWIW, I think requiring a user to do something unintuitive like entering a blank rebus, even with instructions to do so, is a sign that you're likely to get a lot of complaints. I understand that coding special puzzles can be challenging, and even coding errors don't excuse rude comments. But it would be good if differences between how the different platforms accept answers be minimized as much as possible.",11,neutral,0.6247740983963013
I’m an iOS user and put the Ts in so I could more quickly move through the puzzle— had no issue solving.,7,positive,0.7341415286064148
Absolutely maddening trying to get an otherwise correct finished puzzle to show as completed. I'm on Android and the instructions about the rebus didn't appear to work... blanking out the square before the T not the one with the T. Had to open web version and delete contents of T squares.,4,negative,0.8769155144691467
"Checked and rechecked the entire puzzle, even looked up clues online to verify answers, nothing conflicts with what others have mentioned here, made sure nothing in the T squares and puzzle won’t complete on iOS. Pretty easy puzzle otherwise, but just bugs me it doesn’t show as done.",9,neutral,0.5795099139213562
"Totally frustrating.  Tried all the suggested ways of dealing with the T's and nothing:  no music, no ""close"" but somethings off, nothing.  Did both check and reveal and nothing.

Other than that a fun puzzle.",0,negative,0.9012686014175415
"Would've gotten a a rare Thursday puzzle, but I confused a ""shiv"" for a ""shim"".",3,neutral,0.5042206645011902
"I was looking for a tighter, embedded theme rather than simple T or no T.
For 9D, a MARINE could be a MARTINET, and 15A's EMPRESS could be a TEMPTRESS. But the rest of the double-layer answers didn't really work that way. I suppose one FINESSES a FITNESS TEST if necessary, and maybe EXILES wear exotic TEXTILES, but I can't come up with a story for ALANIS in ATLANTIS.
Maybe John came up with a story to weave it all together.

I did enjoy the puzzle anyway, thanks, Brandon.
Perhaps I shall celebrate with a chai.

I do the puzzles in ink on paper, so I don't have to worry about the tech side. But I do get tired of having every Thursday's comments engulfed in tech woes. And reading Deb's column today, I am astounded that the puzzle gimmick should be so convoluted in  Android compared to browser and iOS solution.  That's ridiculous. C'mon, NYT-tech, get it together.",6,neutral,0.7148370742797852
"This one took 16% longer than average -- which meant I got to puzzle over it longer.  Good challenge.  A little surprised I had to fill in the ""T""s for the puzzle to recognize I had finished.  Once I did, I still had to find my errors:
- FEDEXCaP, instead of CUP (oculi vs ocali was not much help)
- VERY, instead of VERB (tricky clue, but BEN was recognizable.  Never heard of MARVIN)  

Did I like the puzzle?  Koppy that.",4,positive,0.6956723928451538
"No problems solving in Firefox under Windows (I correctly guessed that leaving the T squares blank would work, even though it seemed easy). Amusing thing when it's done, though: I got the music, and the clock stopped, all good. But I like to browse back though the puzzle to look at any entries that I got purely on crosses without even looking at the clue (like both 22A and 29A). The easiest way to do that it to keep hitting the Tab key. But even though the puzzle is complete, all of the theme entries are still considered open, and so Tab only goes to them.",3,positive,0.6751288175582886
None of those solutions to get to complete worked for me.,4,negative,0.8555591106414795
"Haven't read all the comments to see if others pointed out that there are nine hidden ""T""s in the puzzle.  Is there something thematic going  on, to do with the ""nineties""?",4,neutral,0.7758972644805908
Not my favorite Thursday. Didn’t find the “puzzle” to be that puzzling and the cluing was pretty easy. But I’ll take the quick solve and now I have time to accomplish other things today!,0,negative,0.7284728288650513
Big thumbs up from me 👍,5,positive,0.9785708785057068
"Who knows if this will ever post? Over the past week, Jim in France has been the one and only representative of a historically-informed poster with regard to our solmization foofaraw.

I composed a reply to him that has still not managed to get through. I will try one last time…

@Jim - What we performance majors sang when we went out on the town was:

Dough, the thing that buys my beers,
Ray, the guy who pours the beers,
Me, the guy who drinks my beers,
Far, a long way to the john.
So, I’ll have another beer.
La, la la la la la laaaa.
Tea? No, thanks, I’m having beer!
And that brings us back to Dough!

Our favorite place was called Bannannas and served pizza fries: masses of thick cut french fries topped with pizza sauce and mozzarella. With pitchers.

My musicianship teacher insisted on our being fluent in both fixed and movable-do solfège, at sight, in tempo, in all eleven clefs*. One of the best teachers I ever had. In graduate school we added twelve-tone solmization for atonal music:
Oh-one-two-tree-four-five-six-sev-eight-nine-ten-lev-oh
(0123456789te0)
for pitch classes rising chromatically from /C/.

*F on the top line sub-bass clef, F on the fourth line bass clef, F on the middle line / C on the top line baritone clef, C on the fourth line tenor clef, C on the middle line alto/viola clef, C on the second line mezzo-soprano clef, C on the bottom line / G on the middle soprano clef, G on the second line treble clef, G on the bottom, French violin clef.",12,neutral,0.686004102230072
"I was sure the Martian was Gazoo from the Flintstones. My all-time favorite cartoon. 

This puzzle was a lot more difficult than I thought it would be. The Ts kept my mind from focusing on the actual answer. Definitely a mind-game that easily frustrated me. I had to do a number of breaks before I finally finished the darn thing 14 hrs later.",4,positive,0.4526522755622864
"I almost never get the theme until I read wordplay,  But at least on this one I realized it quickly.  The rest of the fill had a nice degree of difficulty, but then I was faced with what I was suppoed to do.  That should never be a question for a proper crossword.  Clever, yes,  Somehat difficult, yes.  It should have been over at that point without trying to figure out a gimmick.",4,neutral,0.4599045217037201
"A pleasant cute theme, and most importantly thankfully I had no issues on my Android phone. In the middle of the puzzle I noticed I'd accidentally typed in some letter in one of the 'T' boxes, hiding behind the giant 'T' like some weird crossword eclipse, so I deleted it... and when I got to the last filled square I think I had all the T boxes blank AFAIK, except for the puzzle's embolded embeginned tease. Er, T's. And I got the ""Congrats!"" page. I'm glad, cuz I don't think I would've been in the mood yesterday for technical glitches.

...But who ever IS in the mood for technical glitches? ""Hey guys, anyone in the mood for a system crash? Or an immovable, frustrating puzzle? I'm in!"" [said no one ever]





A thought: if anyone felt that the SO/SOL brouhaha-boondoggle-melee-conTRAHversy thanng on Sunday occluded the shining quality of that day's puzzle, would that be a... SOL-ar eclipse?

I'll be in my room",4,positive,0.7308329939842224
"1D is in the news today

https://www.nytimes.com/2024/05/01/nyregion/battleship-new-jersey-repairs.html",1,neutral,0.6867740750312805
I think I'm going to skip the comment section today...,15,negative,0.557788074016571
"Coming at it from the no tech problems point of view…
I hate ten minute Thursdays.

I come here for puzzles. Fill in the squares quick makes some people happy - hi, there SL - not me. I want a workout, especially on a Thursday.",10,negative,0.6471471786499023
Fun theme! It was pretty easy and enjoyable for me.  I solved on Android app and didn't put anything in the T boxes and it finished no problem for me.,3,positive,0.9699295163154602
Pretty easy Thursday. Solved on iPad. Left the Ts empty and finished but got neither a complete nor an error message. Put T in all the appropriate squares and got an error message. Found my typo and done!,12,positive,0.45825356245040894
"I didn't read -- or even notice -- the instructions. I just did the puzzle and it worked. I'm a fuddy-duddy, though, so I do the puzzle on a computer except when I'm away from home and am forced to do it on my phone. 

This was a nice theme, not overly hard for a Thursday but well executed. Thanks.",7,positive,0.5767183899879456
"disappointed by the negativity here in the comments section. if you solved the puzzle, and enjoyed solving the puzzle, what does it matter whether or not you get credit for it? and if you're on a streak, and that's important to you, how big of a deal is it really to futz around for a few minutes to get the credit you deserve? the joy of finishing this incredibly clever thursday was, to this emu, more than worth the slight pain of acquiring a gold star.

i also frankly don't get the general dislike of thursday ""gimmicks"" in this comment section. on one (or sometimes two) day(s) a week, we as solvers get to do something slightly different. if care is put into the twist – and it almost always is – we're just getting more puzzle bang for our buck. there are many thousands of more straightforward puzzles of every difficulty in the archives for those so single-mindedly inclined.",43,neutral,0.3700101673603058
"Clever idea, poor execution.  Solved the puzzle correctly on my IPad, but got a slash through one of the squares with a T.  Frustrating.",1,negative,0.8161374926567078
Got the gimmick early. But RCCAR??? Never heard of that or Maron. Defeated by one letter by something a bit too esoteric for me. Pointless to go through the whole alphabet for one letter if you’ve never heard of either answer. Disappointing.,0,negative,0.8102077841758728
"Glad I knew ALANIS right off the bat, made the rest, as others have said, pretty easy for Thursday.",6,positive,0.7833330631256104
"Well, I enjoyed this one, so thanks Brandon Koppy, and thanks, Deb, for trying to head off complaints about the T squares. I don’t think I’ll read the comments because I know some will be cranky. I solve on an iPad and it worked just fine for me, but I know it probably didn’t for everyone. Instead I’ll head out for my morning hill walk and enjoy the nice weather before our next rainstorm arrives. Nature is soothing. 😊",9,positive,0.9272367358207703
"Once again the gimmick didn’t work on my iPhone. Grrrr. I got my gold star, but just once I’d like the trick to work. And not even music to cheer me. 🙁",0,negative,0.9248888492584229
"I’m sorry to see so many people found this one frustrating. It worked OK for me, once I figured it out the gimmick.",0,negative,0.5286166071891785
"Blanks that CAN be filled in, but shouldn’t be????

Blanks that if you DO full them with the correct letter will still look empty, but won’t register as the correct solution????

Seriously?

Has SMDH ever been used as a crossword entry? I can’t even.",1,negative,0.7944802641868591
"Poor execution by NYT. The puzzle itself was easy maybe the easiest ever for a Thursday (for me personally). However, I had a real hard time with RONPAUL I knew the name but don’t remember him (significantly being a presidential player). Although I got the answer by getting the crosses but the puzzle wouldn’t complete. I didn’t even get the “close” message. As it turns out I had accidentally entered something in a “T” square but it didn’t show… So after a frustrating 20 minutes off checking everything I checked the forum and then it worked.",0,negative,0.8167702555656433
"Oy. The guys on the ‘Fill Me In’ podcast might blow a gasket over the App interface in this one. So many varying experiences in what I read from others here, and mine was different still: 
- iPhone dark mode, and I saw faded circles as I solved. Got hung up quickly in the NE around the singer/sunken city, didn’t know the gimmick yet. 
- Then solved the hint clue in the SE and had the nice aha moment. I wasn’t sure if I needed to enter the Ts or not so I put them in only on that NE corner just to stop my forward/back buttons from stopping in those squares as I navigated. 
- At some point several minutes after that I left the app for a bit, and when I went back into the puzzle suddenly all the other Ts were all there in bold. Wha-huh? Was it because I solved the hint clue, and left and went back? Weird logic. 
- Anyway kept solving but ended up putting in Ts behind the existing Ts, again to aid in navigation not stopping there as I scrolled through clues. And the finish was declared correctly. 

Based on my experience and imagining the code behind this App, I’m guessing that people having issues where the app is not declaring a solve in some interfaces have accidentally entered a different letter behind one (or more) of the prefilled Ts… easy to do if there’s something blocking the square.",3,neutral,0.609605073928833
A really nice Tuesday-level puzzle. Well done!,8,positive,0.9827799797058105
"""Alee"" / ""A one"" frustrated me for unbelievably long. I've never those before in my life.",0,negative,0.9212571978569031
