text,recommends,label,score
"Sea instead of SIN slowed me down much longer than it should have. Without the N there, I just couldn’t make what sense of the incomplete THIS IS POINTLESS. 

I really liked that answer, as well as PLAY CATCH-UP and especially ABOVE MY PAY GRADE. 

Very good puzzle.",3,negative,0.7679908871650696
"""Something you might kick""

I can't get over how relaxed the New York Times is getting with their crosswords.

I can't imagine this showing up in the distant pass..",1,negative,0.573788583278656
"Did someone mix up Fri and Sat again?  Yesterday took me more than an hour.  Today was 25 minutes!
No idea about Personal Best on a Sat.  My stats say 5:31.  No way I ever did a Saturday that fast!",2,negative,0.7292922735214233
"I really enjoyed this. Maybe my first no-lookup for a Saturday (?), which largely thanks to a lower challenge level I think, but it was a really fun solve with really fun cluing. The SIRI clue was top tier!",2,positive,0.9792832732200623
"Really enjoyed it, but was hoping for a bit more challenge on a Saturday…",2,positive,0.9724035263061523
"I subscribed recently and have a question. I will have the crossword puzzle almost done, click out if it and when I go back in the puzzle is blank and I have to start all over again. Other times it is there with my answers. So frustrating. Is there a save or shouldn’t it be automatic like spelling bee?",0,negative,0.719971239566803
I loved this puzzle!! Thank you to this creator for a delightful Saturday. Enjoyed this one very much. ABOVEMYPAYGRADE was my favorite.,4,positive,0.9899485111236572
"I love a Saturday puzzle that makes me feel smart. 

Unrelated to today, but what is the general feeling about using the help functions among solvers?  I think using the “reveal” function is a definite no-no if you want to consider having solved the puzzle (as is looking up a clue online, or googling something within the clue), but I think using the “check” function occasionally is..sort of okay?  It doesn’t give answers but it helps move things along and avoids getting stuck forever because of a wrong square. I’m at a point in my solving where I generally solve through weds (sometimes Thurs) with no help. But Thurs on I tend to use the “check” assist as needed. 

Curious what others think about these aids.",5,positive,0.7604680061340332
"Fun puzzle, but way too simple for a Saturday, imho.",9,positive,0.6810174584388733
New Saturday record for me. But I don't mind easy puzzles on (normally) hard days once in awhile. :-),6,positive,0.8644919395446777
"After yesterday’s romp I expected a bruiser today. But no…
Well below my puzzling grade for a Saturday.",2,negative,0.70792555809021
"Also, kudos to the constructor for coming up with a new way to clue ONO!  (would’ve sworn we’ve seen ‘em all @ this point) 🙂",4,positive,0.9647725820541382
"This felt like maybe a Thursday, but too easy for Saturday. It only took me around 20 minutes to solve. I kept waiting to get stuck, but it never happened. Although, EWER is one of my favorite Scrabble words, so I loved seeing it here!",3,positive,0.6751306653022766
Apologies for the off-topic post.  Has any experienced having a different Connections puzzle than others?  My wife and I each had a different puzzle today.  Both indicated as #216.,0,neutral,0.8800442218780518
Make Saturdays Challenging Again,4,positive,0.6884425282478333
10 minutes faster than yesterday.  Good time to remember not to look a gift horse in the mouth.,2,positive,0.5073275566101074
Easiest Saturday ever.,0,positive,0.9854072332382202
"Why do I have a broken pencil? This is pointless.

(I promise I'll make things write.)",9,negative,0.750220537185669
"This was the breeziest puzzle all week for me, and I loved every minute of it - I love when I get the longer answers right away :) Hope to see more from Hoang-Kim Vu in the future!",2,positive,0.9901790618896484
"Loved those long phrases. It’s so nice when they come to me and turn out to be right, and help with so many crosses. Thanks for a lovely puzzle, Hoang-Kim Vu.",7,positive,0.9767491817474365
Finished in about average time (expecially compared to last week's super easy Saturday).  I had to solve for BABYMOON as I had never heard the expression.  Nice puzzle and really liked TOOKITONTHECHIN.,1,positive,0.9657925963401794
"Ah Saturdays. When the obscure, z-list celebrities nobody's ever heard of come out to play.",2,neutral,0.5422340631484985
"Overall, a fairly easy solve, except for ""BABYMOON"".  I have never heard this phrase/word.  If the only reference for this is an obscure piece of literature, then I do not feel it is appropriate for a crossword.",2,negative,0.6644334197044373
"Does anyone know of a good way to search for crosswords from a specific constructor? The only thing I have found is looking for wordplay columns that mention the author’s name. 

I ask because I have not been doing to crossword for super long—so I’m sure there are more out there that I haven’t done—and I’m still blown away by how good the construction and clueing was in today’s puzzle. I’d like to enjoy more of the author’s work!",3,neutral,0.6147865056991577
"I liked this puzzle. Very smooth  and enjoyable.

On another note, yesterday my Wordle ship finally came in. The Wordle page won't let me copy/share the results today but my usual #1 word was... The Word. I took screenshots and if there were a way to post png files on here I'd share with you the long-awaited vindication that I am, indeed, a genius.

Carry on.",7,positive,0.9531335830688477
"Was confused when it became obvious that 59A was NOSHOW, because I associated that word with a “no-show job”, where you draw a paycheck without actually working because your capo bribed a couple of local assemblymen to get the riverfront contract, and it would be a surprise if you actually DID show up on the job, because the only tool you know how to use is a crowbar, so you mostly spend your days busting heads and drinking Godfather cocktails with your wiseguy pals. But upon further reflection, when someone you expect to attend an event surprises you by not appearing, that person is indeed a NOSHOW.",4,negative,0.5600612163543701
"Wow, I bean my Saturday average by nearly an hour with this one! I connected quickly with the longer fill answers, otherwise this would have been much tougher.",1,positive,0.9536225199699402
"In a way I played opossum Wednesday. I had just poured cream in my coffee when I got dizzy. I thought I should sit down. The next thing I knew one of the workers at the coffee shop was asking if I was okay.

I was frozen, staring blankly. Like I had fainted standing up.(Hopefully not emitting an odor of decay like one commenter here mentioned.)

A server there asked if he could help me to a chair and I nodded weakly. I feel bad for the employees as I must have been a frightful sight, and not something they should have to deal with. They were wonderful though.

So I'm sitting at a table with a glass of ice water they brought me, trying to collect myself. Then-kapow-I spent a minute or three on fire, sweating profusely. Huh. So my fever broke and I hadn't even realized I was sick.

I felt a bit better after that and walked home. I don't know if it was the flu or something else, but the symptoms weren't too bad so don't cry for me Argentina or any other country.

My nose wasn't stuffy or runny. Minor sore throat. Slight headache. I almost feel guilty because the worst symptom was also a saving grace: I was utterly exhausted. So rather than lying in bed suffering, I slept. The whole day. Woke up a few times feeling too hot or too cold, but quickly fell back asleep.

And now I'm almost completely recovered, wondering, as many of you here are wondering about Saturday puzzles, is the flu getting easier or am I just getting better at it?",4,neutral,0.6527012586593628
"Great puzzle. Not as tough as some other Saturdays I’ve seen, but still challenging enough to be fun.",4,positive,0.9640924334526062
"I would not, as many have said, describe this as ""easy,"" but it was. a pretty smooth fill, quite a bit under my average time, and faster than Thursday or Friday, even with spending two minutes looking for errors. I do not generally like to pick nits with clues but 13D -- ""Caped Crusader"" for TORERO -- seemed off to me. What is a bullfighter crusading for? Also, 25A -- ""Must give"" for ""OWE TO"" -- seems not quite right. For example, if I owe that I love puns to my father passing his love on to me, what MUST I give? These are, as I say, nits, because I did enjoy the fill today.",4,positive,0.5551565289497375
"I had to look up the Godfather cocktail but otherwise it was smooth sailing for a Saturday. I thoroughly enjoyed the clues and the long entries, and finished in less than half my Saturday average, under 15 minutes.",3,positive,0.9572912454605103
27A did me in. It’s actually a great clue but never occurred to me. When I don’t get a techspeak clue I am kind of happy about it.,3,positive,0.7077145576477051
Enjoyed the solve! But felt easy for a Saturday. Great way to start my morning!,3,positive,0.9869610071182251
"Looking outside in minus 9 degree temp and watching the sun rise on Goat Mountain, it suddenly dawned on me that this puzzle was a fantastic start to my weekend.",8,positive,0.9598277807235718
"I had BABYMOON hubcaps on my first car, a VW Karmann Ghia, so I filled it in but was clueless as to why it worked. 

I didn't find the puzzle particularly easy, as others have said, at least not while I was solving it. All of a sudden, it was done, and under a half hour to boot. Having YES YES in the middle didn't help though. Dame Judy DENCH was a lucky guess.",3,neutral,0.5145006775856018
"I enjoyed the fun, relatively junkless fill... but it took me all of ten minutes to finish! Tuesdays have been known to take me longer! I think the cluing was too straightforward for a Saturday. Missing my mental workout this weekend.",3,positive,0.4640914499759674
"What was ever wrong with the Cleveland Indians? Nobody minds the Kansas City Chiefs or the Atlanta Braves! Maybe Chief Wahoo was a little much, so just change the logo.",0,negative,0.8250247240066528
